,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
0,bev_mini,30,6_home,11.0,0.0,1.0,0.0,25,1,25,0,0,0.0
1,bev_mini,30,driving,0.0,1.0,0.931884293939394,0.0,0,0,0,26,28,2.0434711818181817
2,bev_mini,30,0_work,11.0,0.931884293939394,1.0,2.0434711818181803,27,29,56,0,0,0.0
3,bev_mini,30,driving,0.0,1.0,0.94050602,0.0,0,0,0,57,60,1.7848194
4,bev_mini,30,4_private/ridesharing,0.0,0.94050602,0.94050602,0.0,0,61,64,0,0,0.0
5,bev_mini,30,driving,0.0,0.94050602,0.9213076396969697,0.0,0,0,0,65,67,0.575951409090909
6,bev_mini,30,3_shopping,0.0,0.9213076396969697,0.9213076396969697,0.0,0,68,70,0,0,0.0
7,bev_mini,30,driving,0.0,0.9213076396969697,0.8891341209090909,0.0,0,0,0,71,72,0.9652055636363637
8,bev_mini,30,6_home,11.0,0.8891341209090909,1.0,3.325976372727272,24,73,127,0,0,0.0
9,bev_mini,30,driving,0.0,1.0,0.9740550727272728,0.0,0,0,0,128,129,0.7783478181818181
10,bev_mini,30,0_work,11.0,0.9740550727272728,0.9740550727272728,0.0,0,130,131,0,0,0.0
11,bev_mini,30,driving,0.0,0.9740550727272728,0.7947679757575757,0.0,0,0,0,132,147,5.3786129090909105
12,bev_mini,30,6_home,11.0,0.7947679757575757,1.0,6.156960727272728,45,148,218,0,0,0.0
13,bev_mini,30,driving,0.0,1.0,0.356161487878788,0.0,0,0,0,219,233,19.31515536363636
14,bev_mini,30,0_work,11.0,0.356161487878788,1.0,19.31515536363636,24,234,260,0,0,0.0
15,bev_mini,30,driving,0.0,1.0,0.9904593393939394,0.0,0,0,0,261,262,0.2862198181818182
16,bev_mini,30,6_home,11.0,0.9904593393939394,0.9904593393939394,0.0,0,263,296,0,0,0.0
17,bev_mini,30,driving,0.0,0.9904593393939394,0.8086658818181818,0.0,0,0,0,297,303,5.453803727272726
18,bev_mini,30,0_work,11.0,0.8086658818181818,1.0,5.740023545454546,22,304,325,0,0,0.0
19,bev_mini,30,driving,0.0,1.0,0.9786989681818182,0.0,0,0,0,326,327,0.6390309545454546
20,bev_mini,30,4_private/ridesharing,11.0,0.9786989681818182,0.9786989681818182,0.0,0,328,338,0,0,0.0
21,bev_mini,30,driving,0.0,0.9786989681818182,0.9616140215151515,0.0,0,0,0,339,340,0.5125484
22,bev_mini,30,6_home,11.0,0.9616140215151515,0.9616140215151515,0.0,0,341,402,0,0,0.0
23,bev_mini,30,driving,0.0,0.9616140215151515,0.9503371912121212,0.0,0,0,0,403,404,0.3383049090909091
24,bev_mini,30,0_work,11.0,0.9503371912121212,0.9503371912121212,0.0,0,405,434,0,0,0.0
