,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
0,bev_mini,30,6_home,11.0,0.0,1.0,0.0,24,1,24,0,0,0.0
1,bev_mini,30,driving,0.0,1.0,0.9667210242424242,0.0,0,0,0,25,26,0.9983692727272726
2,bev_mini,30,0_work,0.0,0.9667210242424242,0.9667210242424242,0.0,0,27,54,0,0,0.0
3,bev_mini,30,driving,0.0,0.9667210242424242,0.8609907163636363,0.0,0,0,0,55,58,3.171909236363636
4,bev_mini,30,6_home,11.0,0.8609907163636363,1.0,4.17027850909091,38,59,114,0,0,0.0
5,bev_mini,30,driving,0.0,1.0,0.9612204878787879,0.0,0,0,0,115,116,1.1633853636363638
6,bev_mini,30,0_work,0.0,0.9612204878787879,0.9612204878787879,0.0,0,117,140,0,0,0.0
7,bev_mini,30,driving,0.0,0.9612204878787879,0.9475875848484848,0.0,0,0,0,141,142,0.4089870909090909
8,bev_mini,30,3_shopping,0.0,0.9475875848484848,0.9475875848484848,0.0,0,143,148,0,0,0.0
9,bev_mini,30,driving,0.0,0.9475875848484848,0.9229583521212121,0.0,0,0,0,149,150,0.7388769818181817
10,bev_mini,30,6_home,11.0,0.9229583521212121,1.0,2.311249436363636,42,151,218,0,0,0.0
11,bev_mini,30,driving,0.0,1.0,0.9557199515151515,0.0,0,0,0,219,221,1.3284014545454546
12,bev_mini,30,0_work,0.0,0.9557199515151515,0.9557199515151515,0.0,0,222,252,0,0,0.0
13,bev_mini,30,driving,0.0,0.9557199515151515,0.9442932193939394,0.0,0,0,0,253,254,0.34280196363636367
14,bev_mini,30,6_home,11.0,0.9442932193939394,1.0,1.671203418181818,34,255,306,0,0,0.0
15,bev_mini,30,driving,0.0,1.0,0.8655346772727273,0.0,0,0,0,307,313,4.033959681818183
16,bev_mini,30,4_private/ridesharing,0.0,0.8655346772727273,0.8655346772727273,0.0,0,314,330,0,0,0.0
17,bev_mini,30,driving,0.0,0.8655346772727273,0.7460806318181817,0.0,0,0,0,331,333,3.5836213636363645
18,bev_mini,30,0_work,0.0,0.7460806318181817,0.7460806318181817,0.0,0,334,375,0,0,0.0
19,bev_mini,30,driving,0.0,0.7460806318181817,0.6573249675757575,0.0,0,0,0,376,381,2.662669927272727
20,bev_mini,30,6_home,11.0,0.6573249675757575,0.9323249675757576,8.25,3,382,409,0,0,0.0
21,bev_mini,30,driving,0.0,0.9323249675757576,0.8990459918181818,0.0,0,0,0,410,411,0.9983692727272726
22,bev_mini,30,0_work,0.0,0.8990459918181818,0.8990459918181818,0.0,0,412,419,0,0,0.0
23,bev_mini,30,driving,0.0,0.8990459918181818,0.8643610936363636,0.0,0,0,0,420,421,1.0405469454545455
24,bev_mini,30,5_leisure,0.0,0.8643610936363636,0.8643610936363636,0.0,0,422,428,0,0,0.0
25,bev_mini,30,driving,0.0,0.8643610936363636,0.8359872936363636,0.0,0,0,0,429,430,0.8512140000000001
26,bev_mini,30,4_private/ridesharing,0.0,0.8359872936363636,0.8359872936363636,0.0,0,431,432,0,0,0.0
27,bev_mini,30,driving,0.0,0.8359872936363636,0.7458694421212121,0.0,0,0,0,433,435,2.703535545454546
28,bev_mini,30,0_work,0.0,0.7458694421212121,0.7458694421212121,0.0,0,436,441,0,0,0.0
29,bev_mini,30,driving,0.0,0.7458694421212121,0.6646580639393939,0.0,0,0,0,442,446,2.4363413454545455
30,bev_mini,30,6_home,11.0,0.6646580639393939,1.0,10.060258081818183,34,447,506,0,0,0.0
31,bev_mini,30,driving,0.0,1.0,0.9462956606060606,0.0,0,0,0,507,508,1.611130181818182
32,bev_mini,30,3_shopping,11.0,0.9462956606060606,0.9462956606060606,0.0,0,509,512,0,0,0.0
33,bev_mini,30,driving,0.0,0.9462956606060606,0.885387126969697,0.0,0,0,0,513,517,1.8272560090909091
34,bev_mini,30,4_private/ridesharing,11.0,0.885387126969697,0.885387126969697,0.0,0,518,523,0,0,0.0
35,bev_mini,30,driving,0.0,0.885387126969697,0.848666806969697,0.0,0,0,0,524,525,1.1016096
36,bev_mini,30,5_leisure,0.0,0.848666806969697,0.848666806969697,0.0,0,526,530,0,0,0.0
37,bev_mini,30,driving,0.0,0.848666806969697,0.7203036409090909,0.0,0,0,0,531,537,3.850894981818182
38,bev_mini,30,6_home,11.0,0.7203036409090909,1.0,8.390890772727271,39,538,603,0,0,0.0
39,bev_mini,30,driving,0.0,1.0,0.9685545363636364,0.0,0,0,0,604,605,0.9433639090909088
40,bev_mini,30,0_work,0.0,0.9685545363636364,0.9685545363636364,0.0,0,606,640,0,0,0.0
41,bev_mini,30,driving,0.0,0.9685545363636364,0.8992674672727273,0.0,0,0,0,641,644,2.078612072727273
42,bev_mini,30,5_leisure,0.0,0.8992674672727273,0.8992674672727273,0.0,0,645,694,0,0,0.0
43,bev_mini,30,driving,0.0,0.8992674672727273,0.8219842006060607,0.0,0,0,0,695,697,2.318498
44,bev_mini,30,0_work,0.0,0.8219842006060607,0.8219842006060607,0.0,0,698,746,0,0,0.0
45,bev_mini,30,driving,0.0,0.8219842006060607,0.792195846969697,0.0,0,0,0,747,748,0.8936506090909092
46,bev_mini,30,4_private/ridesharing,0.0,0.792195846969697,0.792195846969697,0.0,0,749,751,0,0,0.0
47,bev_mini,30,driving,0.0,0.792195846969697,0.7751109003030303,0.0,0,0,0,752,755,0.5125484
48,bev_mini,30,6_home,11.0,0.7751109003030303,1.0,6.74667299090909,13,756,787,0,0,0.0
49,bev_mini,30,driving,0.0,1.0,0.9338573393939393,0.0,0,0,0,788,791,1.9842798181818184
50,bev_mini,30,2_school,0.0,0.9338573393939393,0.9338573393939393,0.0,0,792,793,0,0,0.0
51,bev_mini,30,driving,0.0,0.9338573393939393,0.7428963212121211,0.0,0,0,0,794,799,5.728830545454545
52,bev_mini,30,0_work,0.0,0.7428963212121211,0.7428963212121211,0.0,0,800,836,0,0,0.0
53,bev_mini,30,driving,0.0,0.7428963212121211,0.7220392315151515,0.0,0,0,0,837,838,0.6257126909090909
54,bev_mini,30,6_home,11.0,0.7220392315151515,1.0,8.338823054545456,26,839,882,0,0,0.0
55,bev_mini,30,driving,0.0,1.0,0.8952140515151515,0.0,0,0,0,883,886,3.143578454545455
56,bev_mini,30,0_work,0.0,0.8952140515151515,0.8952140515151515,0.0,0,887,932,0,0,0.0
57,bev_mini,30,driving,0.0,0.8952140515151515,0.8768125278787879,0.0,0,0,0,933,934,0.5520457090909092
