,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
0,bev_medium,65,6_home,11.0,0.0,1.0,0.0,24,1,24,0,0,0.0
1,bev_medium,65,driving,0.0,1.0,0.9935942265734266,0.0,0,0,0,25,26,0.41637527272727276
2,bev_medium,65,0_work,0.0,0.9935942265734266,0.9935942265734266,0.0,0,27,44,0,0,0.0
3,bev_medium,65,driving,0.0,0.9935942265734266,0.9796036565034965,0.0,0,0,0,45,46,0.9093870545454544
4,bev_medium,65,6_home,0.0,0.9796036565034965,0.9796036565034965,0.0,0,47,54,0,0,0.0
5,bev_medium,65,driving,0.0,0.9796036565034965,0.9693303586013986,0.0,0,0,0,55,56,0.6677643636363635
6,bev_medium,65,3_shopping,0.0,0.9693303586013986,0.9693303586013986,0.0,0,57,60,0,0,0.0
7,bev_medium,65,driving,0.0,0.9693303586013986,0.9456973874125875,0.0,0,0,0,61,63,1.5361431272727273
8,bev_medium,65,6_home,0.0,0.9456973874125875,0.9456973874125875,0.0,0,64,120,0,0,0.0
9,bev_medium,65,driving,0.0,0.9456973874125875,0.8875928839160839,0.0,0,0,0,121,125,3.7767927272727264
10,bev_medium,65,2_school,0.0,0.8875928839160839,0.8875928839160839,0.0,0,126,154,0,0,0.0
11,bev_medium,65,driving,0.0,0.8875928839160839,0.8754928895104895,0.0,0,0,0,155,156,0.7864996363636364
12,bev_medium,65,4_private/ridesharing,0.0,0.8754928895104895,0.8754928895104895,0.0,0,157,160,0,0,0.0
13,bev_medium,65,driving,0.0,0.8754928895104895,0.8368606276923077,0.0,0,0,0,161,163,2.511097018181818
14,bev_medium,65,6_home,0.0,0.8368606276923077,0.8368606276923077,0.0,0,164,216,0,0,0.0
15,bev_medium,65,driving,0.0,0.8368606276923077,0.8054583339860141,0.0,0,0,0,217,219,2.041149090909091
16,bev_medium,65,0_work,0.0,0.8054583339860141,0.8054583339860141,0.0,0,220,247,0,0,0.0
17,bev_medium,65,driving,0.0,0.8054583339860141,0.7861265387412588,0.0,0,0,0,248,249,1.256566690909091
18,bev_medium,65,4_private/ridesharing,0.0,0.7861265387412588,0.7861265387412588,0.0,0,250,251,0,0,0.0
19,bev_medium,65,driving,0.0,0.7861265387412588,0.7785642360839161,0.0,0,0,0,252,253,0.4915496727272728
20,bev_medium,65,6_home,0.0,0.7785642360839161,0.7785642360839161,0.0,0,254,273,0,0,0.0
21,bev_medium,65,driving,0.0,0.7785642360839161,0.7484556285314685,0.0,0,0,0,274,276,1.9570594909090913
22,bev_medium,65,5_leisure,0.0,0.7484556285314685,0.7484556285314685,0.0,0,277,312,0,0,0.0
23,bev_medium,65,driving,0.0,0.7484556285314685,0.7001809655944056,0.0,0,0,0,313,317,3.137853090909091
24,bev_medium,65,6_home,0.0,0.7001809655944056,0.7001809655944056,0.0,0,318,408,0,0,0.0
25,bev_medium,65,driving,0.0,0.7001809655944056,0.6937751921678321,0.0,0,0,0,409,410,0.41637527272727276
26,bev_medium,65,0_work,0.0,0.6937751921678321,0.6937751921678321,0.0,0,411,435,0,0,0.0
27,bev_medium,65,driving,0.0,0.6937751921678321,0.6712135988811189,0.0,0,0,0,436,438,1.4665035636363635
28,bev_medium,65,6_home,0.0,0.6712135988811189,0.6712135988811189,0.0,0,439,504,0,0,0.0
